央视,#genre#
CCTV10,http://114.243.96.186:4000/rtp/239.3.1.63:8116
CCTV11,http://114.243.96.186:4000/rtp/239.3.1.152:8120
CCTV12,http://114.243.96.186:4000/rtp/239.3.1.64:8124
CCTV13,http://114.243.96.186:4000/rtp/239.3.1.124:8128
CCTV14,http://114.243.96.186:4000/rtp/239.3.1.65:8132
CCTV15,http://114.243.96.186:4000/rtp/239.3.1.153:8136
CCTV16,http://114.243.96.186:4000/rtp/239.3.1.183:8001
CCTV16,http://114.243.96.186:4000/rtp/239.3.1.184:8001
CCTV17,http://114.243.96.186:4000/rtp/239.3.1.151:8144
CCTV4,http://114.243.96.186:4000/rtp/239.3.1.213:4220
CCTV4,http://114.243.96.186:4000/rtp/239.3.1.214:4220
CETV1,http://114.243.96.186:4000/rtp/239.3.1.57:8152
CETV2,http://114.243.96.186:4000/rtp/239.3.1.54:4120
CETV3,http://114.243.96.186:4000/rtp/239.3.1.55:4120
CETV4,http://114.243.96.186:4000/rtp/239.3.1.56:4120
CCTV1,http://120.245.137.146:4022/udp/228.1.1.28:8008
CCTV2,http://120.245.137.146:4022/udp/228.1.1.24:8084
CCTV3,http://120.245.137.146:4022/udp/228.1.1.191:8002
CCTV4,http://120.245.137.146:4022/udp/228.1.1.25:8092
CCTV4,http://120.245.137.146:4022/udp/228.1.1.213:4220
CCTV4,http://120.245.137.146:4022/udp/228.1.1.203:4220
CCTV5,http://120.245.137.146:4022/udp/228.1.1.192:8002
CCTV5+,http://120.245.137.146:4022/udp/228.1.1.23:8004
CCTV6,http://120.245.137.146:4022/udp/228.1.1.193:8002
CCTV7,http://120.245.137.146:4022/udp/228.1.1.26:8104
CCTV8,http://120.245.137.146:4022/udp/228.1.1.194:8002
CCTV9,http://120.245.137.146:4022/udp/228.1.1.27:8112
CCTV10,http://120.245.137.146:4022/udp/228.1.1.29:8116
CCTV11,http://120.245.137.146:4022/udp/228.1.1.182:8120
CCTV12,http://120.245.137.146:4022/udp/228.1.1.30:8124
CCTV13,http://120.245.137.146:4022/udp/228.1.1.212:8128
CCTV14,http://120.245.137.146:4022/udp/228.1.1.31:8132
CCTV15,http://120.245.137.146:4022/udp/228.1.1.183:8136
CCTV16,http://120.245.137.146:4022/udp/228.1.1.218:8002
CCTV16,http://120.245.137.146:4022/udp/228.1.1.216:8002 立体声
CCTV16,http://120.245.137.146:4022/udp/228.1.1.217:8002 8K信号
CCTV16,http://120.245.137.146:4022/udp/228.1.1.215:8002
CCTV17,http://120.245.137.146:4022/udp/228.1.1.181:8144
CCTV4,http://120.245.137.146:4022/udp/228.1.1.227:2000
CETV1,http://120.245.137.146:4022/udp/228.1.1.32:8152
CETV2,http://120.245.137.146:4022/udp/228.1.1.97:4120
CETV3,http://120.245.137.146:4022/udp/228.1.1.98:4120
CETV4,http://120.245.137.146:4022/udp/228.1.1.99:4120
卫视,#genre#
河南卫视,http://106.46.39.174:808/hls/31/index.m3u8
浙江卫视,http://106.46.39.174:808/hls/61/index.m3u8
东方卫视,http://106.46.39.174:808/hls/62/index.m3u8
江苏卫视,http://106.46.39.174:808/hls/63/index.m3u8
北京卫视,http://106.46.39.174:808/hls/64/index.m3u8
广东卫视,http://106.46.39.174:808/hls/65/index.m3u8
黑龙江卫视,http://106.46.39.174:808/hls/66/index.m3u8
山东卫视,http://106.46.39.174:808/hls/67/index.m3u8
安徽卫视,http://106.46.39.174:808/hls/68/index.m3u8
辽宁卫视,http://106.46.39.174:808/hls/69/index.m3u8
陕西卫视,http://106.46.39.174:808/hls/70/index.m3u8
贵州卫视,http://106.46.39.174:808/hls/71/index.m3u8
河北卫视,http://106.46.39.174:808/hls/72/index.m3u8
江西卫视,http://106.46.39.174:808/hls/73/index.m3u8
湖南卫视,http://106.46.39.174:808/hls/74/index.m3u8
深圳卫视,http://106.46.39.174:808/hls/75/index.m3u8
四川卫视,http://106.46.39.174:808/hls/76/index.m3u8
湖北卫视,http://106.46.39.174:808/hls/77/index.m3u8
天津卫视,http://106.46.39.174:808/hls/78/index.m3u8
云南卫视,http://106.46.39.174:808/hls/79/index.m3u8
重庆卫视,http://106.46.39.174:808/hls/80/index.m3u8
吉林卫视,http://106.46.39.174:808/hls/81/index.m3u8
东南卫视,http://106.46.39.174:808/hls/83/index.m3u8
广西卫视,http://106.46.39.174:808/hls/85/index.m3u8
海南卫视,http://106.46.39.174:808/hls/88/index.m3u8
甘肃卫视,http://106.46.39.174:808/hls/89/index.m3u8
青海卫视,http://106.46.39.174:808/hls/90/index.m3u8
湖北卫视,http://116.117.105.154:8096/tsfile/live/0132_1.m3u8
贵州卫视,http://116.117.105.154:8096/tsfile/live/0120_1.m3u8
辽宁卫视,http://116.117.105.154:8096/tsfile/live/0121_1.m3u8
北京卫视,http://116.117.105.154:8096/tsfile/live/0122_1.m3u8
河北卫视,http://123.183.25.111:6666/tsfile/live/0013_1.m3u8
吉林卫视,http://123.183.25.111:6666/tsfile/live/0116_1.m3u8
广西卫视,http://123.183.25.111:6666/tsfile/live/0113_1.m3u8
广东卫视,http://123.183.25.111:6666/tsfile/live/0125_1.m3u8
东方卫视,http://123.183.25.111:6666/tsfile/live/0107_1.m3u8
深圳卫视,http://123.183.25.111:6666/tsfile/live/0126_1.m3u8
贵州卫视,http://123.183.25.111:6666/tsfile/live/0120_1.m3u8
江西卫视,http://123.183.25.111:6666/tsfile/live/0138_1.m3u8
四川卫视,http://123.183.25.111:6666/tsfile/live/0123_1.m3u8
河南卫视,http://123.183.25.111:6666/tsfile/live/0139_1.m3u8
山东卫视,http://123.183.25.111:6666/tsfile/live/0131_1.m3u8
辽宁卫视,http://123.183.25.111:6666/tsfile/live/0121_1.m3u8
天津卫视,http://123.183.25.111:6666/tsfile/live/0135_1.m3u8
北京卫视,http://123.183.25.111:6666/tsfile/live/0122_1.m3u8
东南卫视,http://123.183.25.111:6666/tsfile/live/0137_1.m3u8
江苏卫视,http://123.183.25.111:6666/tsfile/live/0127_1.m3u8
浙江卫视,http://123.183.25.111:6666/tsfile/live/0124_1.m3u8
湖南卫视,http://123.183.25.111:6666/tsfile/live/0128_1.m3u8
安徽卫视,http://123.183.25.111:6666/tsfile/live/0130_1.m3u8
黑龙江卫视,http://123.183.25.111:6666/tsfile/live/0143_1.m3u8
湖北卫视,http://123.183.25.111:6666/tsfile/live/0132_1.m3u8
重庆卫视,http://123.183.25.111:6666/tsfile/live/0142_1.m3u8
河北卫视,http://111.225.93.18:33333/hls/35/index.m3u8
河北卫视,http://111.225.93.18:33333/hls/36/index.m3u8
北京卫视,http://111.225.93.18:33333/hls/50/index.m3u8
湖南卫视,http://111.225.93.18:33333/hls/51/index.m3u8
湖南卫视,http://111.225.93.18:33333/hls/52/index.m3u8
深圳卫视,http://111.225.93.18:33333/hls/56/index.m3u8
东方卫视,http://111.225.93.18:33333/hls/60/index.m3u8
浙江卫视,http://111.225.93.18:33333/hls/62/index.m3u8
山东卫视,http://111.225.93.18:33333/hls/69/index.m3u8
广东卫视,http://111.225.93.18:33333/hls/70/index.m3u8
辽宁卫视,http://111.225.93.18:33333/hls/72/index.m3u8
云南卫视,http://111.225.93.18:33333/hls/78/index.m3u8
云南卫视,http://111.225.93.18:33333/hls/79/index.m3u8
广西卫视,http://111.225.93.18:33333/hls/80/index.m3u8
浙江卫视,http://117.44.39.73:20000/hls/16/index.m3u8
甘肃卫视,http://117.44.39.73:20000/hls/36/index.m3u8
兵团卫视,http://117.44.39.73:20000/hls/63/index.m3u8
新疆卫视,http://117.44.39.73:20000/hls/67/index.m3u8
湖北卫视,http://59.172.84.192:8888/rtp/239.254.96.115:8664
河北卫视,http://59.172.84.192:8888/rtp/239.254.96.113:9616
深圳卫视,http://59.172.84.192:8888/rtp/239.254.96.137:8896
